"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"CONN_GENDER";"CONN_ORIENTATION";"CONTACT_MATERIAL";"DATASHEET";"DESCRIPTION";"DESRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"LEAD_FREE";"LIB_STATUS";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MFN";"MFR";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"OC_FARNELL";"OC_NEWARK";"OUR-STOCK";"OUR_STOCK";"PACKAGE";"PART_VALUE";"POPULARITY";"PREFIX";"PRICE";"PRICE-1";"ROHS";"SUPPLIER-1";"TECHNOLOGY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TYPE";"VERIFICATION_VERSION";
"2";"PESD36VS2UT";"PESD36VS2UT";"SOT23-3";"D4, D6";"";"";"";"";"";"";"";"ESD Diode Voff=36V, Vclamp=60V, SOT23";"";"";"";"";"";"";"";"";"";"";"";"";"";"PESD36VS2UT";"NXP";"";"";"";"";"";"";"150";"";"";"";"";"";"0.15";"";"Mouser";"";"";"";"";"";
"1";"R49AN347050B1M";"R49AN347050B1M";"R49AN347050B1M";"C1";"0.47µF X Cap 330V 800V Polypropylene (PP), Metallized Radial";"";"";"";"";"";"";"Film,X1,470nF/330Vac,THT";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"R49AN347050B1M";"Kemet";"";"";"";"";"";"";"8";"";"470nF/330VAC";"";"";"";"1.51";"";"Digikey";"";"";"";"";"";
"1";"R7FA6M5BG3CFBLQFP-144-M";"R7FA6M5BG3CFBLQFP-144-M";"LQFP-144-M";"U2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R7FA6M5BG3CFB#AA0";"Renesas";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"RNF12FTD10M0";"RNF12FTD10M0";"RES-RM12.5-VR37";"R8, R46";"";"";"";"";"";"";"";"10 MOhms ±1% 0.5W, 1/2W Through Hole Resistor Axial Flame Retardant Coating, Safety Metal Film";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"RNF12FTD10M0";"Stackpole Electronics Inc";"";"";"";"";"";"20";"";"";"10Meg 5%";"";"";"";"0.29";"";"Digikey";"";"";"";"";"";
"2";"R_2010";"R_2010";"R2010";"R28, R36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RL73K2HR68JTE";"";"";"";"";"";"";"";"";"";"680mR";"";"";"";"0.11";"";"Digikey";"";"";"";"";"";
"1";"SN65HVD3082EDR";"SN65HVD3082EDR";"SOIC8";"IC1";"";"";"";"";"";"";"";"RS485 Transciever, 200Kbps, SOIC-8 , ALT: TP8485E-SR (3Peak)";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"SN65HVD3082EDR";"TI,3Peak";"";"";"";"";"";"";"10";"";"RS485 Driver";"";"";"";"0.30";"";"LCSC";"";"";"";"";"";
"1";"SRN8040TA-220M";"SRN8040TA-220M";"SRN8040TA-220M";"L1";"FIXED IND 22UH 2.9A SMD, 73m-Ohm, Bourns";"";"";"";"";"";"";"FIXED IND 22UH 2.9A SMD, 73m-Ohm, Bourns";"";"";"";"";"";"";"";"";"Verified";"";"";"";"";"SRN8040TA-220M";"Bourns";"";"";"";"";"";"";"10";"";"22uH/2.9A";"";"";"";"";"";"Digikey";"SMD";"";"";"";"";
"3";"SS14";"SS14";"SMA";"D1, D2, D11";"";"";"";"";"";"";"";"Diode Schottky 1A/40V (SMA)";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"SS14-LTP";"MCC";"";"";"";"";"";"";"10";"";"Schottky 1A/40V";"";"";"";"0.05";"";"LCSC";"";"";"";"";"";
"1";"TPS54202DDCR";"TPS54202DDCR";"SOT23-6";"IC5";"";"";"";"";"";"";"";"2A 28V SOT-23-6 Sync Buck";"";"";"";"";"";"";"";"";"Prototype";"";"";"";"";"TPS54202DDCR";"Texas Instruments";"";"";"";"";"";"";"40";"";"TPS54202";"";"";"";"1.8";"";"LCSC";"";"";"";"";"";
"1";"WF2549-2WS05S0B01";"WF2549-2WS05S0B01";"X10_100MIL_2XROW_VERT";"X2";"";"";"";"";"";"";"";"X10, 10 Pins, Header, Pitch 2.54 wire to board 2xrows, THT";"";"";"";"";"";"";"";"";"";"";"";"";"";"WF2549-2WS05S0B01";"WCON";"";"";"";"";"";"";"";"";"";"";"";"";"0.25";"";"LCSC";"";"";"";"";"";
